,,timestamp,source,target
55,80,12,N55,N80
85,48,12,N85,N48
36,21,12,N36,N21
64,94,12,N64,N94
32,34,12,N32,N34
64,99,12,N64,N99
14,76,12,N14,N76
33,34,12,N33,N34
34,33,12,N34,N33
32,88,12,N32,N88
3,23,12,N3,N23
31,99,12,N31,N99
4,68,12,N4,N68
16,91,12,N16,N91
4,64,12,N4,N64
71,13,12,N71,N13
58,49,12,N58,N49
49,58,12,N49,N58
72,46,12,N72,N46
98,99,12,N98,N99
62,1,12,N62,N1
44,27,12,N44,N27
100,38,12,N100,N38
44,33,12,N44,N33
81,74,12,N81,N74
47,17,13,N47,N17
33,54,13,N33,N54
54,33,13,N54,N33
63,39,13,N63,N39
50,36,13,N50,N36
36,50,13,N36,N50
9,46,13,N9,N46
43,36,13,N43,N36
99,96,13,N99,N96
35,76,13,N35,N76
98,94,13,N98,N94
13,64,13,N13,N64
9,85,13,N9,N85
3,58,13,N3,N58
81,65,13,N81,N65
40,59,13,N40,N59
68,69,13,N68,N69
47,18,13,N47,N18
56,67,13,N56,N67
66,47,13,N66,N47
27,33,13,N27,N33
53,56,13,N53,N56
68,80,13,N68,N80
80,68,13,N80,N68
65,22,13,N65,N22
37,17,13,N37,N17
97,17,13,N97,N17
53,75,13,N53,N75
71,14,13,N71,N14
96,17,13,N96,N17
13,42,13,N13,N42
84,72,13,N84,N72
84,70,13,N84,N70
70,84,13,N70,N84
72,94,13,N72,N94
49,24,13,N49,N24
18,42,13,N18,N42
66,86,13,N66,N86
97,90,14,N97,N90
74,22,14,N74,N22
92,69,14,N92,N69
69,16,14,N69,N16
6,15,14,N6,N15
58,45,14,N58,N45
46,9,14,N46,N9
58,94,14,N58,N94
39,30,14,N39,N30
49,7,14,N49,N7
57,92,14,N57,N92
82,98,14,N82,N98
1,28,14,N1,N28
18,47,14,N18,N47
57,92,14,N57,N92
4,18,14,N4,N18
67,8,14,N67,N8
33,27,14,N33,N27
42,31,14,N42,N31
80,13,14,N80,N13
14,71,14,N14,N71
97,31,14,N97,N31
38,99,14,N38,N99
68,78,14,N68,N78
25,59,14,N25,N59
17,96,14,N17,N96
92,52,14,N92,N52
29,82,14,N29,N82
21,3,14,N21,N3
91,16,14,N91,N16
76,89,14,N76,N89
34,29,14,N34,N29
29,34,14,N29,N34
17,12,14,N17,N12
37,4,14,N37,N4
38,100,14,N38,N100
45,41,15,N45,N41
35,37,15,N35,N37
37,35,15,N37,N35
16,69,15,N16,N69
28,5,15,N28,N5
31,50,15,N31,N50
49,69,15,N49,N69
11,80,15,N11,N80
76,35,15,N76,N35
43,79,15,N43,N79
9,20,15,N9,N20
69,87,15,N69,N87
70,36,15,N70,N36
51,90,15,N51,N90
92,57,15,N92,N57
67,12,15,N67,N12
98,84,15,N98,N84
84,98,15,N84,N98
44,61,15,N44,N61
34,37,15,N34,N37
37,34,15,N37,N34
60,32,15,N60,N32
36,54,15,N36,N54
70,93,15,N70,N93
68,35,15,N68,N35
35,68,15,N35,N68
67,56,15,N67,N56
92,57,15,N92,N57
82,28,15,N82,N28
31,42,15,N31,N42
82,22,15,N82,N22
51,35,15,N51,N35
22,65,15,N22,N65
17,37,15,N17,N37
63,54,15,N63,N54
38,18,15,N38,N18
18,38,15,N18,N38
86,67,15,N86,N67
67,86,15,N67,N86
64,38,15,N64,N38
38,64,15,N38,N64
39,3,15,N39,N3
3,39,15,N3,N39
47,25,15,N47,N25
76,14,15,N76,N14
25,48,15,N25,N48
74,49,15,N74,N49
10,92,15,N10,N92
24,64,15,N24,N64
65,8,15,N65,N8
76,37,15,N76,N37
95,8,15,N95,N8
72,73,15,N72,N73
18,55,15,N18,N55
55,18,15,N55,N18
43,73,15,N43,N73
63,11,15,N63,N11
11,63,15,N11,N63
76,6,15,N76,N6
6,76,15,N6,N76
